Video_AD_Ratio,Video_AD_Spend_Ratio,Optimal_Video_AD_Ratio,Optimal_AD_Volume_Ratio,Ad_Creation_Volume,Ad_Creative_Fatigue,Video_Ad_Creative_Fatigue,Top_Ad_Performance,Top_Video_Ad_Performance
0.07,0.29,0.06,0.08,92,1.2145,3.2499,0.18,0.1294
0.21,0.28,0.04,0.03,100,0,0,0.174,0.1341
0.23,0.25,0.22,0.07,100,0,0,0.16,0.1549
0.29,0.25,0.11,0.03,100,0,0,0.16,0.1583
0.16,0.67,0.16,0.11,100,0,0,0.158,0.0784
0.36,0.28,0.05,0.04,99,4.543,2.8063,0.0113,0.0483
0.2,0.28,0.02,0,99,0.4219,1.2731,0.1311,0.1158
0.13,0.27,0.03,0.03,100,0,0,0.16,0.1124
0.23,0.27,0.02,0.02,100,0,0,0.174,0.1339
0.38,0.27,0.18,0.06,100,0,0,0.0116,0.0395
0.24,0.27,0.11,0.04,100,2.991,2.2705,0.2409,0.0481
0.14,0.27,0.2,0.02,100,4.3973,0.2503,0.1108,0.1869
0.32,0.24,0.2,0.1,100,2.8667,0,0.16,0.1596
0.06,0.26,0.07,0.03,100,3.8914,1.4334,0.0569,0.1013
0.42,0.26,0.09,0.07,90,5.822,0.8007,0.0401,0.0636
0.03,0.26,0.02,0.09,100,1.5797,0.7458,0.3161,0.1717
0.25,0.25,0.08,0.04,100,0,0,0.1659,0.1565
0.16,0.25,0.02,0.04,99,1.6941,2.1579,0.1339,0.1154
0.05,0.25,0.15,0.01,99,0.6005,1.8664,0.2181,0.1308
0.16,0.25,0.14,0.07,100,0.7129,1.8692,0.008,0.0654
0.27,0.25,0.04,0.02,100,2.4531,1.5955,0.2006,0.1586
0.09,0.25,0.16,0.05,85,3.5835,4.02,0.0253,0.1561
0.2,0.22,0.19,0.06,100,0,0,0.16,0.0368
0.19,0.25,0.26,0.07,100,0.5724,2.4142,0.0469,0.129
0.15,0.24,0.05,0.05,100,2.8667,0,0.1734,0.1681
0.25,0.24,0.26,0.07,100,0,0,0.0519,0.048
0.25,0.24,0.08,0.04,100,0,0,0.1707,0.1617
0.17,0.24,0.05,0.05,100,5.7333,0,0.1589,0.0932
0.27,0.24,0.23,0.03,99,0.6081,0.2239,0.0542,0.0728
0.13,0.24,0.07,0.07,100,1.5329,0.5143,0.1184,0.1383
0.17,0.24,0.14,0.07,99,3.2628,1.6562,0.102,0.1474
0.16,0.21,0.21,0.04,100,1.1573,0.655,0.2754,0.1162
0.35,0.21,0.33,0.1,99,2.7851,0.5975,0.1632,0.1253
0.28,0.23,0.08,0.04,100,2.8667,2.8667,0.1614,0.0992
0.2,0.23,0.02,0.1,100,4.9007,1.6071,0.1987,0.1322
0.24,0.22,0.09,0.05,100,0,0,0.162,0.0846
0.21,0.22,0.06,0.04,100,0,0,0.1582,0.0713
0.08,0.22,0.04,0.06,100,2.2334,1.8606,0.1504,0.0802
0.13,0.22,0.21,0.02,92,1.9438,2.1995,0.1614,0.1938
0.31,0.22,0.09,0.02,99,0.7883,2.0073,0.2291,0.1451
0.2,0.22,0.02,0.03,100,0.8443,0.2572,0.1652,0.1311
0.41,0.18,0.11,0.04,100,5.7333,0,0.16,0.1452
0.19,0.21,0.03,0.02,100,0,0,0.1763,0.1737
0.16,0.18,0.14,0.06,100,0,0,0.16,0.1268
0.27,0.18,0.13,0.04,100,2.8667,0,0.1638,0.1584
0.21,0.21,0.15,0.05,99,2.2148,1.5737,0.2163,0.2061
0.13,0.21,0.04,0.02,100,0.7196,0.165,0.0458,0.1286
0.34,0.17,0.17,0.08,100,0,0,0.16,0.157
0.27,0.2,0.09,0.03,100,0,0,0.166,0.1593
0.07,0.2,0.06,0.03,100,0,0,0.1583,0.1268
0.18,0.2,0.06,0.08,100,1.8572,1.4985,0.1859,0.1097
0.22,0.17,0.12,0.06,100,2.9471,0.6335,0.1565,0.0549
0.04,0.2,0.08,0.08,100,1.1519,0.3436,0.2739,0.1654
0.26,0.2,0.07,0.03,100,2.0337,1.95,0.2785,0.1645
0.15,0.19,0.12,0.03,85,6.1408,0.8034,0.0556,0.1403
0.02,0.19,0.04,0.06,90,2.6958,0.6019,0.1604,0.1136
0.2,0.15,0.14,0.05,100,2.8667,0,0.16,0.1268
0.22,0.18,0.07,0.04,100,0,0,0.0987,0.0071
0.21,0.18,0.07,0.04,100,0,2.8667,0.1622,0.1465
0.06,0.18,0.19,0.03,100,0.9647,1.2691,0.0609,0.1416
0.21,0.17,0.07,0.04,100,0,0,0.154,0.1203
0.04,0.17,0.17,0.02,100,5.9511,3.7418,0.2121,0.1466
0.03,0.17,0.01,0.04,97,0.7674,0.1285,0.1495,0.1633
0.11,0.15,0.16,0.09,100,2.5197,0.8073,0.3319,0.0447
0.24,0.17,0.05,0.05,100,2.6267,0.3817,0.0652,0.094
0.28,0.14,0.11,0.05,100,2.8667,0,0.1577,0.0127
0.08,0.16,0.03,0.02,100,0,0,0.1087,0.1268
0.23,0.16,0.04,0.02,100,0,0,0.1608,0.0956
0.29,0.16,0.08,0,99,3.3523,1.431,0.0579,0.1284
0.27,0.46,0.18,0.04,100,7.9786,0.4613,0.0876,0.1538
0.06,0.15,0.08,0.04,100,5.7333,0,0.16,0.0352
0.06,0.15,0.06,0.03,100,2.8667,0,0.16,0.27
0.14,0.15,0.09,0.05,100,0,0,0.1563,0.1268
0.1,0.15,0.07,0.02,100,11.4667,0,0.16,0.1268
0.32,0.15,0.14,0.05,100,6.6026,0.6545,0.0488,0.1184
0.06,0.15,0.06,0.02,100,0.2827,0.3394,0.1193,0.1595
0.18,0.14,0.08,0.03,100,0,0,0.1625,0.1464
0.25,0.14,0.18,0.04,100,2.055,1.161,0.2358,0.1326
0.08,0.14,0.02,0.02,100,0,0,0.0985,0.1268
0.23,0.14,0.02,0.01,100,0,0,0.133,0.1268
0.04,0.13,0.13,0.07,100,0,0,0.16,0.1444
0.08,0.14,0.04,0.02,100,0,0,0.1629,0.1554
0.26,0.14,0.15,0.06,99,1.9666,2.1417,0.2793,0.1319
0.16,0.14,0.12,0.05,87,4.5613,2.0842,0.2809,0.1252
0.16,0.14,0.07,0.06,99,1.5843,1.9167,0.2383,0.1763
0.3,0.14,0.14,0.01,99,4.4366,1.2511,0.0218,0.108
0.26,0.13,0.09,0.05,100,2.8667,2.8667,0.0565,0.005
0.2,0.13,0.08,0.03,100,0,0,0.1595,0.1454
0.11,0.13,0.01,0.04,99,3.5196,1.2052,0.286,0.1514
0.03,0.13,0.23,0.01,100,2.6088,2.5649,0.3389,0.0701
0.22,0.12,0.09,0.05,100,2.8667,2.8667,0.1579,0.1275
0.18,0.12,0.07,0.05,100,0,0,0.1562,0.2295
0.15,0.52,0.07,0.03,100,2.8667,0,0.1579,0.1268
0.22,0.12,0.08,0.04,100,3.2352,5.9328,0.2157,0.122
0.05,0.11,0.03,0.03,100,0,0,0.157,0.1268
0.12,0.11,0.06,0.01,99,4.9968,1.7657,0.2526,0.0996
0.17,0.11,0.23,0.03,100,5.2106,4.0671,0.2724,0.1324
0.2,0.1,0.09,0.04,100,2.0667,0,0.16,0.1558
0.27,0.09,0.15,0.05,100,0,0,0.16,0.1576
0.35,0.57,0.1,0.02,100,0,0,0.1563,0.1165
